rank,gene_id,protein_id,protein_name,log2_fold_change,fold_change,p_value,cellular_location,immunogenicity_score,combined_score
59,ENSG00000140835,ENSP00000140835,CHST4 protein,5.37,41.46,2.863e-02,membrane,1,16.976
60,ENSG00000259439,ENSP00000259439,ENSG00000259439 protein,5.37,41.48,2.912e-02,unknown,0.1,16.894
61,ENSG00000103888,ENSP00000103888,CEMIP protein,5.32,39.98,1.088e-05,membrane,0.94,16.386
62,ENSG00000250337,ENSP00000250337,ENSG00000250337 protein,5.29,39.08,9.573e-03,unknown,0.1,15.937
63,ENSG00000165905,ENSP00000165905,LARGE2 protein,5.28,38.76,2.713e-05,membrane,0.89,15.891
64,ENSG00000015520,ENSP00000015520,NPC1L1 protein,5.26,38.38,1.823e-02,membrane,0.85,15.733
65,ENSG00000163347,ENSP00000163347,CLDN1 protein,5.26,38.33,5.830e-07,membrane,1,15.730
66,ENSG00000122641,ENSP00000122641,INHBA protein,5.26,38.33,3.187e-04,secreted,0.85,15.717
67,ENSG00000148734,ENSP00000148734,NPFFR1 protein,5.20,36.65,2.861e-05,membrane,1,15.060
68,ENSG00000236452,ENSP00000236452,ENSG00000236452 protein,5.18,36.31,7.375e-05,unknown,0.05,14.828
69,ENSG00000104371,ENSP00000104371,DKK4 protein,5.18,36.15,2.416e-02,secreted,0.72,14.826
70,ENSG00000183145,ENSP00000183145,RIPPLY3 protein,5.17,36.12,1.937e-04,nucleus,0.49,14.796
71,ENSG00000186007,ENSP00000186007,LEMD1 protein,5.15,35.59,1.002e-04,membrane,0.99,14.636
72,ENSG00000144452,ENSP00000144452,ABCA12 protein,5.15,35.51,1.824e-02,membrane,0.95,14.592
73,ENSG00000233017,ENSP00000233017,ENSG00000233017 protein,5.15,35.62,3.007e-02,unknown,0.1,14.547
74,ENSG00000286486,ENSP00000286486,ENSG00000286486 protein,5.14,35.14,2.941e-05,unknown,0.05,14.362
75,ENSG00000232803,ENSP00000232803,ENSG00000232803 protein,5.12,34.76,1.194e-03,unknown,0.1,14.214
76,ENSG00000180537,ENSP00000180537,RNF182 protein,5.09,33.96,1.510e-02,cytoplasm,0.6499999999999999,13.945
77,ENSG00000173894,ENSP00000173894,CBX2 protein,5.08,33.80,2.555e-04,nucleus,0.52,13.872
78,ENSG00000123561,ENSP00000123561,SERPINA7 protein,5.08,33.74,1.040e-02,secreted,0.7,13.863
79,ENSG00000259485,ENSP00000259485,ENSG00000259485 protein,5.07,33.63,1.401e-04,unknown,0.1,13.762
80,ENSG00000132746,ENSP00000132746,ALDH3B2 protein,5.06,33.43,2.438e-02,cytoplasm,0.55,13.718
81,ENSG00000228705,ENSP00000228705,ENSG00000228705 protein,5.06,33.30,2.090e-04,unknown,0.05,13.624
82,ENSG00000187556,ENSP00000187556,NANOS3 protein,5.04,33.01,2.663e-02,cytoplasm,0.6599999999999999,13.563
83,ENSG00000134812,ENSP00000134812,CBLIF protein,5.03,32.71,9.975e-03,secreted,0.84,13.465
84,ENSG00000198535,ENSP00000198535,C2CD4A protein,5.03,32.57,6.736e-03,nucleus,0.65,13.391
85,ENSG00000229970,ENSP00000229970,ENSG00000229970 protein,5.01,32.31,5.623e-06,unknown,0.05,13.228
86,ENSG00000105464,ENSP00000105464,GRIN2D protein,4.99,31.75,7.612e-06,membrane,1,13.099
87,ENSG00000128683,ENSP00000128683,GAD1 protein,4.98,31.62,2.487e-04,membrane,0.93,13.041
88,ENSG00000128422,ENSP00000128422,KRT17 protein,4.98,31.47,5.527e-03,cytoplasm,0.6499999999999999,12.953
89,ENSG00000181418,ENSP00000181418,DDN protein,4.97,31.29,1.206e-04,membrane,0.87,12.904
90,ENSG00000139292,ENSP00000139292,LGR5 protein,4.95,31.01,1.768e-05,membrane,1,12.804
91,ENSG00000135374,ENSP00000135374,ELF5 protein,4.96,31.08,4.658e-02,nucleus,0.5900000000000001,12.776
92,ENSG00000230234,ENSP00000230234,ENSG00000230234 protein,4.95,30.91,1.439e-02,unknown,0.05,12.665
93,ENSG00000120054,ENSP00000120054,CPN1 protein,4.94,30.59,6.002e-04,secreted,0.72,12.609
94,ENSG00000185479,ENSP00000185479,KRT6B protein,4.93,30.56,5.101e-03,cytoplasm,0.7599999999999999,12.600
95,ENSG00000106536,ENSP00000106536,POU6F2 protein,4.93,30.52,9.267e-03,nucleus,0.51,12.557
96,ENSG00000139800,ENSP00000139800,ZIC5 protein,4.92,30.35,2.700e-02,nucleus,0.5700000000000001,12.488
97,ENSG00000165816,ENSP00000165816,VWA2 protein,4.92,30.18,4.042e-05,secreted,0.7899999999999999,12.449
98,ENSG00000275216,ENSP00000275216,ENSG00000275216 protein,4.92,30.17,3.929e-03,unknown,0.1,12.379
99,ENSG00000128610,ENSP00000128610,FEZF1 protein,4.89,29.68,1.740e-03,nucleus,0.51,12.222
100,ENSG00000223812,ENSP00000223812,ENSG00000223812 protein,4.88,29.44,1.605e-02,unknown,0.05,12.076
101,ENSG00000019186,ENSP00000019186,CYP24A1 protein,4.87,29.29,8.115e-04,mitochondria,0.3799999999999999,12.053
102,ENSG00000115363,ENSP00000115363,EVA1A protein,4.86,29.11,6.734e-06,membrane,1,12.043
103,ENSG00000232445,ENSP00000232445,ENSG00000232445 protein,4.87,29.28,3.435e-05,unknown,0.1,12.024
104,ENSG00000197085,ENSP00000197085,ENSG00000197085 protein,4.85,28.89,3.736e-02,unknown,0.05,11.851
105,ENSG00000149968,ENSP00000149968,MMP3 protein,4.83,28.43,4.430e-03,secreted,0.91,11.761
106,ENSG00000184292,ENSP00000184292,TACSTD2 protein,4.81,28.11,1.525e-02,membrane,0.94,11.632
107,ENSG00000169035,ENSP00000169035,KLK7 protein,4.78,27.43,4.478e-02,secreted,0.72,11.329
108,ENSG00000171004,ENSP00000171004,HS6ST2 protein,4.73,26.56,4.566e-03,membrane,0.88,11.011
109,ENSG00000166840,ENSP00000166840,GLYATL1 protein,4.73,26.52,2.416e-04,mitochondria,0.49,10.958
110,ENSG00000286133,ENSP00000286133,ENSG00000286133 protein,4.73,26.61,4.208e-03,unknown,0.05,10.947
111,ENSG00000131730,ENSP00000131730,CKMT2 protein,4.73,26.50,3.939e-02,mitochondria,0.47,10.935
112,ENSG00000042832,ENSP00000042832,TG protein,4.71,26.24,4.535e-06,secreted,0.7799999999999999,10.875
113,ENSG00000137747,ENSP00000137747,TMPRSS13 protein,4.70,26.04,7.526e-04,membrane,0.92,10.807
114,ENSG00000140807,ENSP00000140807,NKD1 protein,4.70,25.96,4.573e-04,cytoplasm,0.84,10.766
115,ENSG00000205420,ENSP00000205420,KRT6A protein,4.70,25.96,3.622e-02,cytoplasm,0.55,10.727
116,ENSG00000107159,ENSP00000107159,CA9 protein,4.69,25.72,4.029e-03,membrane,0.96,10.685
117,ENSG00000232023,ENSP00000232023,ENSG00000232023 protein,4.70,25.92,1.385e-02,unknown,0.05,10.668
118,ENSG00000107807,ENSP00000107807,TLX1 protein,4.68,25.65,1.728e-03,nucleus,0.55,10.614
119,ENSG00000169247,ENSP00000169247,SH3TC2 protein,4.67,25.54,2.495e-06,membrane,0.95,10.610
120,ENSG00000064195,ENSP00000064195,DLX3 protein,4.68,25.61,3.673e-02,nucleus,0.5700000000000001,10.591
121,ENSG00000073067,ENSP00000073067,CYP2W1 protein,4.66,25.28,1.023e-02,membrane,0.87,10.494
122,ENSG00000231252,ENSP00000231252,ENSG00000231252 protein,4.67,25.47,1.230e-05,unknown,0.05,10.491
123,ENSG00000183248,ENSP00000183248,ENSG00000183248 protein,4.67,25.40,7.967e-04,unknown,0.1,10.471
124,ENSG00000286403,ENSP00000286403,ENSG00000286403 protein,4.67,25.40,2.329e-02,unknown,0.1,10.462
125,ENSG00000206069,ENSP00000206069,LHFPL7 protein,4.65,25.16,1.124e-02,membrane,0.92,10.453
126,ENSG00000240204,ENSP00000240204,ENSG00000240204 protein,4.66,25.23,2.111e-05,unknown,0.05,10.395
127,ENSG00000088992,ENSP00000088992,TESC protein,4.64,24.93,1.089e-04,nucleus,0.64,10.336
128,ENSG00000095752,ENSP00000095752,IL11 protein,4.63,24.79,1.249e-03,secreted,0.85,10.301
129,ENSG00000239605,ENSP00000239605,STPG4 protein,4.63,24.69,9.420e-05,nucleus,0.51,10.227
130,ENSG00000204542,ENSP00000204542,C6orf15 protein,4.60,24.25,1.497e-02,secreted,0.8,10.076
131,ENSG00000100665,ENSP00000100665,SERPINA4 protein,4.59,24.14,3.301e-02,secreted,0.83,10.028
132,ENSG00000183734,ENSP00000183734,ASCL2 protein,4.59,24.14,1.553e-06,nucleus,0.63,10.018
133,ENSG00000254256,ENSP00000254256,ENSG00000254256 protein,4.59,24.09,1.371e-03,unknown,0.05,9.939
134,ENSG00000139515,ENSP00000139515,PDX1 protein,4.58,23.87,1.682e-06,nucleus,0.5,9.899
135,ENSG00000245694,ENSP00000245694,ENSG00000245694 protein,4.58,23.91,3.150e-04,unknown,0.1,9.874
136,ENSG00000142700,ENSP00000142700,DMRTA2 protein,4.57,23.83,2.000e-02,nucleus,0.45,9.872
137,ENSG00000277223,ENSP00000277223,ENSG00000277223 protein,4.56,23.54,2.978e-03,unknown,0.05,9.718
138,ENSG00000183775,ENSP00000183775,KCTD16 protein,4.54,23.22,1.968e-02,membrane,0.99,9.681
139,ENSG00000261650,ENSP00000261650,ENSG00000261650 protein,4.55,23.40,3.695e-04,unknown,0.05,9.665
140,ENSG00000173898,ENSP00000173898,SPTBN2 protein,4.53,23.10,1.786e-06,cytoplasm,0.72,9.613
141,ENSG00000254726,ENSP00000254726,MEX3A protein,4.53,23.04,2.547e-04,cytoplasm,0.72,9.588
142,ENSG00000105989,ENSP00000105989,WNT2 protein,4.51,22.84,7.736e-05,secreted,0.8999999999999999,9.526
143,ENSG00000283554,ENSP00000283554,ENSG00000283554 protein,4.53,23.03,3.693e-03,unknown,0.05,9.518
144,ENSG00000023839,ENSP00000023839,ABCC2 protein,4.49,22.53,1.421e-03,membrane,0.8999999999999999,9.403
145,ENSG00000174015,ENSP00000174015,CBY2 protein,4.48,22.27,1.310e-03,membrane,0.96,9.305
146,ENSG00000253363,ENSP00000253363,ENSG00000253363 protein,4.49,22.48,2.773e-02,unknown,0.05,9.288
147,ENSG00000226476,ENSP00000226476,ENSG00000226476 protein,4.48,22.39,1.300e-04,unknown,0.1,9.265
148,ENSG00000274979,ENSP00000274979,ENSG00000274979 protein,4.48,22.25,4.521e-03,unknown,0.1,9.208
149,ENSG00000081277,ENSP00000081277,PKP1 protein,4.46,22.07,4.596e-03,nucleus,0.6799999999999999,9.195
150,ENSG00000214429,ENSP00000214429,ENSG00000214429 protein,4.45,21.92,3.031e-03,unknown,0.05,9.072
151,ENSG00000196611,ENSP00000196611,MMP1 protein,4.43,21.59,5.395e-03,secreted,0.87,9.019
152,ENSG00000224817,ENSP00000224817,ENSG00000224817 protein,4.44,21.73,1.058e-02,unknown,0.05,8.994
153,ENSG00000180869,ENSP00000180869,ENSG00000180869 protein,4.43,21.61,5.600e-06,unknown,0.05,8.949
154,ENSG00000074211,ENSP00000074211,PPP2R2C protein,4.41,21.26,3.711e-02,cytoplasm,0.73,8.867
155,ENSG00000162849,ENSP00000162849,KIF26B protein,4.40,21.18,8.989e-04,cytoplasm,0.7799999999999999,8.848
156,ENSG00000129991,ENSP00000129991,TNNI3 protein,4.41,21.20,1.298e-03,cytoplasm,0.55,8.835
157,ENSG00000258551,ENSP00000258551,ENSG00000258551 protein,4.42,21.33,1.530e-02,unknown,0.05,8.834
158,ENSG00000129455,ENSP00000129455,KLK8 protein,4.39,21.03,9.075e-03,secreted,0.74,8.785
159,ENSG00000255650,ENSP00000255650,ENSG00000255650 protein,4.40,21.18,2.097e-04,unknown,0.05,8.777
160,ENSG00000249937,ENSP00000249937,ENSG00000249937 protein,4.40,21.09,2.767e-02,unknown,0.05,8.733
161,ENSG00000151224,ENSP00000151224,MAT1A protein,4.38,20.82,6.835e-04,cytoplasm,0.7699999999999999,8.704
162,ENSG00000282890,ENSP00000282890,ENSG00000282890 protein,4.37,20.69,3.004e-02,unknown,0.05,8.573
163,ENSG00000196260,ENSP00000196260,SFTA2 protein,4.35,20.40,1.715e-03,membrane,0.98,8.559
164,ENSG00000257588,ENSP00000257588,ENSG00000257588 protein,4.37,20.64,4.033e-03,unknown,0.05,8.558
165,ENSG00000112494,ENSP00000112494,UNC93A protein,4.32,20.01,3.515e-03,membrane,0.96,8.400
166,ENSG00000057593,ENSP00000057593,F7 protein,4.30,19.64,2.294e-03,membrane,0.86,8.239
167,ENSG00000120149,ENSP00000120149,MSX2 protein,4.29,19.52,2.125e-04,nucleus,0.55,8.164
168,ENSG00000287486,ENSP00000287486,ENSG00000287486 protein,4.29,19.59,5.924e-03,unknown,0.1,8.144
169,ENSG00000213981,ENSP00000213981,ENSG00000213981 protein,4.29,19.50,2.040e-03,unknown,0.05,8.104
170,ENSG00000270372,ENSP00000270372,ENSG00000270372 protein,4.26,19.14,4.184e-04,unknown,0.05,7.959
171,ENSG00000158055,ENSP00000158055,GRHL3 protein,4.25,18.98,7.415e-04,nucleus,0.6,7.953
172,ENSG00000234235,ENSP00000234235,ENSG00000234235 protein,4.25,19.07,2.861e-02,unknown,0.05,7.926
173,ENSG00000145506,ENSP00000145506,NKD2 protein,4.23,18.74,8.928e-06,membrane,0.93,7.890
174,ENSG00000167419,ENSP00000167419,LPO protein,4.21,18.53,3.188e-02,secreted,0.6799999999999999,7.771
175,ENSG00000254166,ENSP00000254166,ENSG00000254166 protein,4.22,18.63,5.628e-07,unknown,0.1,7.763
176,ENSG00000272502,ENSP00000272502,ENSG00000272502 protein,4.20,18.41,2.472e-05,unknown,0.05,7.671
177,ENSG00000165188,ENSP00000165188,RNF183 protein,4.17,17.95,1.381e-05,membrane,0.95,7.576
178,ENSG00000105219,ENSP00000105219,CCNP protein,4.16,17.84,2.899e-03,nucleus,0.6200000000000001,7.497
179,ENSG00000100078,ENSP00000100078,PLA2G3 protein,4.14,17.64,1.060e-02,membrane,0.89,7.442
180,ENSG00000287828,ENSP00000287828,ENSG00000287828 protein,4.15,17.78,3.459e-09,unknown,0.1,7.422
181,ENSG00000166670,ENSP00000166670,MMP10 protein,4.12,17.35,1.990e-02,secreted,0.85,7.321
182,ENSG00000237686,ENSP00000237686,ENSG00000237686 protein,4.13,17.45,6.814e-05,unknown,0.05,7.284
183,ENSG00000253414,ENSP00000253414,ENSG00000253414 protein,4.10,17.18,2.356e-04,unknown,0.1,7.182
184,ENSG00000232237,ENSP00000232237,ASCL5 protein,4.09,17.00,3.518e-03,nucleus,0.55,7.154
185,ENSG00000206195,ENSP00000206195,ENSG00000206195 protein,4.10,17.12,1.196e-02,unknown,0.05,7.151
186,ENSG00000254560,ENSP00000254560,ENSG00000254560 protein,4.09,17.01,7.547e-04,unknown,0.1,7.116
187,ENSG00000204335,ENSP00000204335,SP5 protein,4.06,16.69,9.526e-06,nucleus,0.63,7.040
188,ENSG00000163734,ENSP00000163734,CXCL3 protein,4.05,16.62,4.579e-06,secreted,0.85,7.032
189,ENSG00000285278,ENSP00000285278,ENSG00000285278 protein,4.07,16.78,6.870e-05,unknown,0.05,7.017
190,ENSG00000104237,ENSP00000104237,ENSG00000104237 protein,4.05,16.59,1.586e-04,unknown,0.05,6.942
191,ENSG00000231826,ENSP00000231826,ENSG00000231826 protein,4.04,16.41,2.708e-02,unknown,0.1,6.867
192,ENSG00000244306,ENSP00000244306,ENSG00000244306 protein,4.04,16.41,2.982e-02,unknown,0.05,6.860
193,ENSG00000259471,ENSP00000259471,ENSG00000259471 protein,4.03,16.32,9.507e-03,unknown,0.05,6.829
194,ENSG00000186474,ENSP00000186474,KLK12 protein,4.00,16.00,2.014e-04,secreted,0.84,6.784
195,ENSG00000278505,ENSP00000278505,C17orf78 protein,3.99,15.86,3.808e-02,membrane,0.86,6.717
196,ENSG00000104892,ENSP00000104892,KLC3 protein,3.99,15.86,4.062e-03,cytoplasm,0.72,6.716
197,ENSG00000163032,ENSP00000163032,VSNL1 protein,3.98,15.77,1.105e-05,membrane,0.96,6.703
198,ENSG00000188338,ENSP00000188338,SLC38A3 protein,3.96,15.60,4.134e-02,membrane,0.8400000000000001,6.612
199,ENSG00000185105,ENSP00000185105,MYADML2 protein,3.95,15.41,9.660e-04,membrane,0.95,6.560
200,ENSG00000096088,ENSP00000096088,PGC protein,3.94,15.32,5.554e-03,secreted,0.66,6.491
201,ENSG00000185686,ENSP00000185686,PRAME protein,3.94,15.30,2.441e-02,nucleus,0.5900000000000001,6.472
202,ENSG00000257191,ENSP00000257191,ENSG00000257191 protein,3.93,15.21,9.550e-03,unknown,0.05,6.387
203,ENSG00000232679,ENSP00000232679,ENSG00000232679 protein,3.93,15.22,2.128e-02,unknown,0.05,6.386
204,ENSG00000134323,ENSP00000134323,MYCN protein,3.91,15.02,3.153e-03,nucleus,0.58,6.367
205,ENSG00000226887,ENSP00000226887,ERVMER34-1 protein,3.88,14.73,1.465e-02,membrane,0.97,6.284
206,ENSG00000233854,ENSP00000233854,ENSG00000233854 protein,3.90,14.96,2.721e-02,unknown,0.05,6.280
207,ENSG00000286802,ENSP00000286802,ENSG00000286802 protein,3.90,14.89,2.116e-03,unknown,0.05,6.262
208,ENSG00000113739,ENSP00000113739,STC2 protein,3.87,14.65,1.289e-02,secreted,0.84,6.240
209,ENSG00000285219,ENSP00000285219,HULC protein,3.86,14.56,7.534e-03,unknown,0.1,6.131
210,ENSG00000249162,ENSP00000249162,ENSG00000249162 protein,3.86,14.57,1.063e-02,unknown,0.05,6.128
211,ENSG00000196711,ENSP00000196711,ALKAL1 protein,3.85,14.39,5.613e-04,secreted,0.69,6.126
212,ENSG00000157193,ENSP00000157193,LRP8 protein,3.83,14.19,2.310e-07,membrane,1,6.077
213,ENSG00000278909,ENSP00000278909,ENSG00000278909 protein,3.85,14.39,5.646e-03,unknown,0.05,6.059
214,ENSG00000223749,ENSP00000223749,ENSG00000223749 protein,3.84,14.29,2.774e-02,unknown,0.1,6.017
215,ENSG00000198610,ENSP00000198610,AKR1C4 protein,3.82,14.11,2.350e-02,cytoplasm,0.63,6.000
216,ENSG00000273132,ENSP00000273132,ENSG00000273132 protein,3.82,14.12,1.012e-04,unknown,0.05,5.953
217,ENSG00000111981,ENSP00000111981,ULBP1 protein,3.80,13.92,1.041e-03,membrane,0.8,5.946
218,ENSG00000253649,ENSP00000253649,PRSS51 protein,3.80,13.91,1.022e-03,secreted,0.8,5.944
219,ENSG00000183914,ENSP00000183914,DNAH2 protein,3.78,13.73,4.688e-02,cytoplasm,0.74,5.853
220,ENSG00000196754,ENSP00000196754,S100A2 protein,3.79,13.86,3.990e-03,unknown,0.1,5.852
221,ENSG00000099953,ENSP00000099953,MMP11 protein,3.77,13.68,7.245e-04,secreted,0.7799999999999999,5.851
222,ENSG00000196584,ENSP00000196584,XRCC2 protein,3.78,13.71,3.118e-07,nucleus,0.65,5.848
223,ENSG00000173557,ENSP00000173557,CIMIP2C protein,3.77,13.66,1.959e-04,cytoplasm,0.75,5.839
224,ENSG00000181085,ENSP00000181085,MAPK15 protein,3.77,13.62,2.079e-03,cytoplasm,0.63,5.812
225,ENSG00000247381,ENSP00000247381,ENSG00000247381 protein,3.78,13.74,2.619e-05,unknown,0.05,5.802
226,ENSG00000261241,ENSP00000261241,ENSG00000261241 protein,3.78,13.71,5.506e-03,unknown,0.05,5.789
227,ENSG00000116017,ENSP00000116017,ARID3A protein,3.76,13.56,1.222e-02,nucleus,0.61,5.780
228,ENSG00000099937,ENSP00000099937,SERPIND1 protein,3.75,13.46,4.871e-02,secreted,0.73,5.742
229,ENSG00000280109,ENSP00000280109,ENSG00000280109 protein,3.77,13.60,1.880e-02,unknown,0.05,5.738
230,ENSG00000243944,ENSP00000243944,ENSG00000243944 protein,3.76,13.58,2.275e-04,unknown,0.05,5.736
231,ENSG00000260604,ENSP00000260604,ENSG00000260604 protein,3.76,13.52,9.850e-03,unknown,0.05,5.712
232,ENSG00000235669,ENSP00000235669,ENSG00000235669 protein,3.75,13.50,1.190e-04,unknown,0.05,5.705
233,ENSG00000233542,ENSP00000233542,ENSG00000233542 protein,3.75,13.50,4.196e-02,unknown,0.05,5.692
234,ENSG00000176842,ENSP00000176842,IRX5 protein,3.72,13.17,1.983e-02,nucleus,0.54,5.616
235,ENSG00000279193,ENSP00000279193,ENSG00000279193 protein,3.73,13.26,9.759e-05,unknown,0.05,5.609
236,ENSG00000159708,ENSP00000159708,ENSG00000159708 protein,3.73,13.23,3.089e-03,unknown,0.1,5.603
237,ENSG00000234602,ENSP00000234602,MCIDAS protein,3.70,13.02,1.045e-04,nucleus,0.56,5.563
238,ENSG00000258867,ENSP00000258867,ENSG00000258867 protein,3.69,12.95,1.471e-03,unknown,0.05,5.484
239,ENSG00000149295,ENSP00000149295,DRD2 protein,3.67,12.74,2.392e-02,membrane,0.94,5.481
240,ENSG00000262188,ENSP00000262188,ENSG00000262188 protein,3.69,12.88,1.514e-03,unknown,0.1,5.463
